material_id,material_name,category,supplier,unit,unit_cost_usd,usage_process,storage_condition,purity,hazard_level,country_of_origin,last_updated
MAT266,Mold Compound,封裝材料,Dow Chemical,片,254.06,Lithography,常溫乾燥,99.9999%,低,法國,2025-09-04
MAT267,8-inch Silicon Wafer,矽材料,JSR Corporation,片,497.98,Lithography,常溫乾燥,高純度,中,法國,2025-07-03
MAT268,Copper Target,薄膜材料,JSR Corporation,公斤,92.41,Lithography,密封容器，避光保存,99.9999%,低,德國,2025-07-08
MAT269,12-inch Silicon Wafer,矽材料,長春化工,卷,3.53,Cleaning,避光保存,99.999%,低,韓國,2025-08-31
MAT270,Photoresist PR-950,光阻材料,長春化工,公升,402.82,CMP,密封容器，避光保存,電子級,低,法國,2025-08-03
MAT271,Ultra Pure Water,清洗用水,JSR Corporation,公克,164.25,Oxidation,避光保存,99.999%,中,德國,2025-08-05
MAT272,ABF Substrate 4L,封裝基板,GlobalWafers,公斤,403.23,CVD,密封容器，避光保存,N/A,低,韓國,2025-09-15
MAT273,UV Release Film,裝配輔材,Shin-Etsu,公斤,324.98,Oxidation,密封容器，避光保存,N/A,中,美國,2025-07-04
MAT274,Ag Wire 18μm,封裝導線,GlobalWafers,公斤,308.87,Lithography,避光保存,N/A,中,台灣,2025-08-28
MAT275,Hydrofluoric Acid (HF),化學溶液,GlobalWafers,公升,465.45,Oxidation,乾燥室，低於25°C,電子級,低,韓國,2025-07-14
MAT276,Gold Wire 25μm,封裝導線,台灣中油,公斤,147.83,Lithography,避光保存,高純度,低,美國,2025-07-10
MAT277,UV Release Film,裝配輔材,Tanaka Precious Metals,公克,91.28,Packaging,常溫乾燥,電子級,低,韓國,2025-09-15
MAT278,12-inch Silicon Wafer,矽材料,長春化工,公斤,33.82,Oxidation,密封容器，避光保存,電子級,中,日本,2025-08-21
MAT279,Cu Wire 20μm,封裝導線,Shin-Etsu,公斤,209.53,Lithography,乾燥室，低於25°C,99.999%,中,台灣,2025-07-14
MAT280,ABF Substrate 4L,封裝基板,Shin-Etsu,公升,54.41,CMP,避光保存,電子級,高,法國,2025-08-14
MAT281,8-inch Silicon Wafer,矽材料,Senju Metal,卷,277.11,CVD,密封容器，避光保存,99.9999%,低,韓國,2025-09-06
MAT282,Sulfuric Acid (H₂SO₄),化學溶液,Heraeus,公克,23.99,CMP,常溫乾燥,99.9999%,中,德國,2025-07-09
MAT283,TiN Target,薄膜材料,TOK,卷,407.99,Cleaning,常溫乾燥,99.999%,中,台灣,2025-08-03
MAT284,UV Release Film,裝配輔材,欣興電子 Unimicron,公斤,463.15,Etching,常溫乾燥,99.999%,低,美國,2025-07-27
MAT285,Argon Gas (Ar),化學氣體,JSR Corporation,公斤,349.22,CVD,高壓鋼瓶,電子級,低,韓國,2025-08-29
MAT286,Photoresist PR-950,光阻材料,欣興電子 Unimicron,公升,159.56,CMP,避光保存,N/A,高,美國,2025-07-20
MAT287,Ultra Pure Water,清洗用水,Toppan Photomask,公斤,305.75,Cleaning,避光保存,N/A,高,日本,2025-08-29
MAT288,Ultra Pure Water,清洗用水,Toppan Photomask,卷,31.78,Oxidation,密封容器，避光保存,99.999%,中,美國,2025-08-05
MAT289,8-inch Silicon Wafer,矽材料,Air Liquide,卷,408.0,Cleaning,避光保存,99.999%,低,台灣,2025-09-10
MAT290,TiN Target,薄膜材料,Dow Chemical,片,121.18,Etching,密封容器，避光保存,N/A,中,台灣,2025-08-05
MAT291,Si₃N₄ Target,薄膜材料,JSR Corporation,卷,449.87,Cleaning,高壓鋼瓶,電子級,低,韓國,2025-09-27
MAT292,Photoresist PR-950,光阻材料,Air Liquide,卷,382.83,Cleaning,常溫乾燥,99.999%,低,韓國,2025-08-11
MAT293,Photoresist AR-450,光阻材料,Nitto Denko,公斤,4.54,Cleaning,高壓鋼瓶,電子級,高,日本,2025-07-10
MAT294,Gold Wire 25μm,封裝導線,台灣中油,卷,59.26,CMP,避光保存,99.999%,中,韓國,2025-08-06
MAT295,Hydrofluoric Acid (HF),化學溶液,Nan Ya PCB,卷,350.07,CMP,高壓鋼瓶,99.999%,高,日本,2025-09-21
MAT296,Argon Gas (Ar),化學氣體,Heraeus,卷,109.7,Lithography,避光保存,電子級,低,日本,2025-09-22
MAT297,Copper Target,薄膜材料,Heraeus,公克,422.15,Lithography,常溫乾燥,電子級,中,美國,2025-07-12
MAT298,8-inch Silicon Wafer,矽材料,Air Liquide,公克,82.71,Lithography,乾燥室，低於25°C,電子級,低,日本,2025-09-13
MAT299,Die Attach Adhesive,封裝材料,Dow Chemical,公斤,424.29,Packaging,常溫乾燥,高純度,中,日本,2025-09-23
MAT300,Copper Target,薄膜材料,JSR Corporation,公克,37.91,Packaging,乾燥室，低於25°C,99.999%,高,日本,2025-09-23
MAT301,ABF Substrate 4L,封裝基板,長春化工,公克,68.63,CVD,乾燥室，低於25°C,N/A,高,美國,2025-07-19
MAT302,8-inch Silicon Wafer,矽材料,TOK,公升,345.51,Cleaning,常溫乾燥,99.9999%,低,美國,2025-08-12
MAT303,Argon Gas (Ar),化學氣體,Senju Metal,卷,127.73,CMP,乾燥室，低於25°C,高純度,低,美國,2025-07-22
MAT304,Die Attach Adhesive,封裝材料,Dow Chemical,公斤,329.78,CMP,高壓鋼瓶,高純度,低,美國,2025-09-30
MAT305,Sulfuric Acid (H₂SO₄),化學溶液,JSR Corporation,公斤,434.77,CMP,密封容器，避光保存,99.999%,中,日本,2025-08-03
MAT306,Ultra Pure Water,清洗用水,Senju Metal,卷,379.29,Packaging,乾燥室，低於25°C,高純度,低,日本,2025-08-30
MAT307,Dicing Tape UV Type,裝配輔材,GlobalWafers,片,232.85,Cleaning,避光保存,電子級,低,韓國,2025-07-09
MAT308,Gold Wire 25μm,封裝導線,Heraeus,公克,241.12,Etching,乾燥室，低於25°C,N/A,高,日本,2025-07-22
MAT309,12-inch Silicon Wafer,矽材料,Heraeus,卷,139.6,Cleaning,高壓鋼瓶,N/A,高,美國,2025-07-18
MAT310,Copper Target,薄膜材料,Air Liquide,公斤,403.44,Lithography,常溫乾燥,電子級,中,美國,2025-09-03
MAT311,Argon Gas (Ar),化學氣體,Air Liquide,公斤,230.08,Etching,避光保存,高純度,高,韓國,2025-09-20
MAT312,Cu Wire 20μm,封裝導線,Nan Ya PCB,公升,480.08,Oxidation,高壓鋼瓶,99.9999%,低,台灣,2025-08-02
MAT313,Copper Target,薄膜材料,Tanaka Precious Metals,片,99.13,Etching,常溫乾燥,高純度,低,台灣,2025-09-14
MAT314,Mold Compound,封裝材料,Senju Metal,公斤,75.3,CMP,避光保存,電子級,中,德國,2025-07-24
MAT315,UV Release Film,裝配輔材,Heraeus,片,272.89,Packaging,密封容器，避光保存,99.9999%,低,德國,2025-09-06
MAT316,Photoresist PR-950,光阻材料,台灣中油,卷,44.09,Packaging,高壓鋼瓶,高純度,低,美國,2025-08-09
MAT317,ABF Substrate 4L,封裝基板,欣興電子 Unimicron,公升,498.06,Lithography,避光保存,N/A,低,台灣,2025-07-23
MAT318,ABF Substrate 4L,封裝基板,Shin-Etsu,片,228.03,Etching,高壓鋼瓶,99.9999%,中,法國,2025-07-20
MAT319,Dicing Tape UV Type,裝配輔材,Nan Ya PCB,公克,88.0,Cleaning,常溫乾燥,99.999%,低,日本,2025-08-11
MAT320,ABF Substrate 4L,封裝基板,JSR Corporation,公升,280.74,CMP,乾燥室，低於25°C,N/A,低,日本,2025-08-19
MAT321,Copper Target,薄膜材料,Senju Metal,卷,496.58,CMP,常溫乾燥,N/A,高,日本,2025-08-09
MAT322,8-inch Silicon Wafer,矽材料,Tanaka Precious Metals,卷,315.6,Cleaning,密封容器，避光保存,高純度,高,日本,2025-08-10
MAT323,Cu Wire 20μm,封裝導線,台灣中油,公斤,457.77,CVD,避光保存,N/A,低,美國,2025-07-08
MAT324,Ag Wire 18μm,封裝導線,Toppan Photomask,卷,139.32,CMP,高壓鋼瓶,99.999%,低,日本,2025-07-03
MAT325,Nitrogen Gas (N₂),化學氣體,Heraeus,公斤,438.77,Oxidation,常溫乾燥,99.999%,中,法國,2025-08-22
MAT326,8-inch Silicon Wafer,矽材料,台灣中油,公斤,332.01,Oxidation,常溫乾燥,99.9999%,中,台灣,2025-07-14
MAT327,TiN Target,薄膜材料,TOK,公斤,227.92,Lithography,避光保存,電子級,低,德國,2025-08-09
MAT328,Argon Gas (Ar),化學氣體,Senju Metal,公克,464.56,CVD,密封容器，避光保存,N/A,中,日本,2025-07-17
MAT329,Nitrogen Gas (N₂),化學氣體,欣興電子 Unimicron,公斤,130.43,CMP,高壓鋼瓶,N/A,高,德國,2025-08-17
MAT330,ABF Substrate 4L,封裝基板,Air Liquide,公斤,442.24,Cleaning,高壓鋼瓶,99.999%,低,法國,2025-07-20
MAT331,ABF Substrate 4L,封裝基板,TOK,卷,133.62,Oxidation,乾燥室，低於25°C,99.9999%,中,台灣,2025-08-16
MAT332,Ultra Pure Water,清洗用水,長春化工,公克,75.39,Lithography,常溫乾燥,99.9999%,高,德國,2025-09-04
MAT333,UV Release Film,裝配輔材,欣興電子 Unimicron,公升,407.78,CMP,常溫乾燥,高純度,高,韓國,2025-09-22
MAT334,8-inch Silicon Wafer,矽材料,GlobalWafers,片,470.3,Packaging,高壓鋼瓶,99.999%,中,韓國,2025-07-04
MAT335,ABF Substrate 4L,封裝基板,Tanaka Precious Metals,片,458.96,CVD,高壓鋼瓶,高純度,中,台灣,2025-08-01
MAT336,UV Release Film,裝配輔材,Toppan Photomask,片,476.05,Packaging,常溫乾燥,電子級,高,德國,2025-09-09
MAT337,Dicing Tape UV Type,裝配輔材,Heraeus,公升,358.19,Oxidation,常溫乾燥,電子級,低,德國,2025-07-31
MAT338,Ultra Pure Water,清洗用水,台灣中油,公克,298.05,Lithography,密封容器，避光保存,高純度,高,日本,2025-08-20
MAT339,Ultra Pure Water,清洗用水,Shin-Etsu,卷,453.11,Oxidation,避光保存,高純度,高,日本,2025-09-14
MAT340,8-inch Silicon Wafer,矽材料,JSR Corporation,公斤,378.05,CVD,密封容器，避光保存,電子級,中,日本,2025-09-23
MAT341,BT Substrate 6L,封裝基板,Toppan Photomask,公升,204.08,Etching,高壓鋼瓶,高純度,低,法國,2025-08-20
MAT342,BT Substrate 6L,封裝基板,TOK,公克,182.16,Oxidation,避光保存,99.999%,中,德國,2025-07-09
MAT343,Copper Target,薄膜材料,Air Liquide,公升,129.41,Etching,常溫乾燥,99.9999%,高,韓國,2025-09-04
MAT344,12-inch Silicon Wafer,矽材料,GlobalWafers,卷,146.53,Etching,乾燥室，低於25°C,高純度,高,德國,2025-09-28
MAT345,Sulfuric Acid (H₂SO₄),化學溶液,Heraeus,公斤,431.56,Oxidation,密封容器，避光保存,99.9999%,低,韓國,2025-08-09
MAT346,BT Substrate 6L,封裝基板,Heraeus,片,290.42,Oxidation,常溫乾燥,電子級,中,法國,2025-07-30
MAT347,Nitrogen Gas (N₂),化學氣體,JSR Corporation,公升,186.6,Oxidation,高壓鋼瓶,高純度,高,台灣,2025-08-23
MAT348,8-inch Silicon Wafer,矽材料,Air Liquide,公斤,497.09,Packaging,高壓鋼瓶,N/A,高,韓國,2025-09-29
MAT349,Photoresist AR-450,光阻材料,Shin-Etsu,片,265.18,Oxidation,乾燥室，低於25°C,99.9999%,低,法國,2025-09-22
MAT350,Sulfuric Acid (H₂SO₄),化學溶液,Dow Chemical,公斤,330.89,Etching,避光保存,99.999%,低,德國,2025-08-17
MAT351,Ag Wire 18μm,封裝導線,JSR Corporation,公斤,359.85,Oxidation,密封容器，避光保存,電子級,低,法國,2025-09-03
MAT352,Si₃N₄ Target,薄膜材料,Senju Metal,片,56.2,Lithography,避光保存,99.999%,低,德國,2025-07-18
MAT353,Photoresist PR-950,光阻材料,JSR Corporation,片,465.68,Cleaning,高壓鋼瓶,高純度,低,德國,2025-07-27
MAT354,Ammonium Hydroxide (NH₄OH),化學溶液,Toppan Photomask,公克,71.22,Oxidation,避光保存,N/A,低,德國,2025-07-10
MAT355,12-inch Silicon Wafer,矽材料,欣興電子 Unimicron,公升,173.41,Cleaning,常溫乾燥,99.9999%,低,台灣,2025-08-27
MAT356,Copper Target,薄膜材料,Tanaka Precious Metals,公克,225.52,Lithography,避光保存,99.9999%,低,日本,2025-09-15
MAT357,Ultra Pure Water,清洗用水,Nitto Denko,卷,153.5,CVD,避光保存,高純度,低,美國,2025-07-07
MAT358,Dicing Tape UV Type,裝配輔材,Shin-Etsu,片,495.42,Oxidation,密封容器，避光保存,99.999%,低,台灣,2025-08-26
MAT359,12-inch Silicon Wafer,矽材料,Nitto Denko,片,10.13,CVD,常溫乾燥,99.9999%,高,美國,2025-07-20
MAT360,Argon Gas (Ar),化學氣體,Toppan Photomask,公斤,26.97,Packaging,避光保存,99.999%,低,台灣,2025-09-06
MAT361,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,長春化工,公升,40.54,Oxidation,高壓鋼瓶,N/A,中,美國,2025-09-13
MAT362,Gold Wire 25μm,封裝導線,Nan Ya PCB,公斤,65.52,CVD,乾燥室，低於25°C,99.9999%,高,法國,2025-08-04
MAT363,Sulfuric Acid (H₂SO₄),化學溶液,Nitto Denko,片,429.81,Packaging,密封容器，避光保存,高純度,低,法國,2025-07-17
MAT364,UV Release Film,裝配輔材,Toppan Photomask,卷,480.34,CVD,避光保存,99.9999%,高,德國,2025-08-11
MAT365,Ammonium Hydroxide (NH₄OH),化學溶液,Nitto Denko,公克,9.2,CMP,密封容器，避光保存,99.9999%,中,美國,2025-09-29
MAT366,Hydrofluoric Acid (HF),化學溶液,Dow Chemical,公斤,81.7,CVD,高壓鋼瓶,電子級,低,德國,2025-07-07
MAT367,Ultra Pure Water,清洗用水,TOK,公斤,419.31,Oxidation,密封容器，避光保存,99.9999%,高,日本,2025-09-20
MAT368,Mold Compound,封裝材料,Heraeus,公斤,412.73,Cleaning,乾燥室，低於25°C,99.9999%,低,法國,2025-09-04
MAT369,Copper Target,薄膜材料,長春化工,公克,75.12,Cleaning,乾燥室，低於25°C,99.9999%,高,美國,2025-07-23
MAT370,ABF Substrate 4L,封裝基板,長春化工,公克,15.28,CMP,避光保存,N/A,低,日本,2025-07-17
MAT371,Dicing Tape UV Type,裝配輔材,Senju Metal,公升,308.18,CVD,常溫乾燥,電子級,低,韓國,2025-07-26
MAT372,Gold Wire 25μm,封裝導線,長春化工,公克,95.21,Oxidation,高壓鋼瓶,99.999%,低,法國,2025-08-03
MAT373,Die Attach Adhesive,封裝材料,JSR Corporation,卷,426.36,Oxidation,高壓鋼瓶,99.999%,中,日本,2025-08-05
MAT374,Dicing Tape UV Type,裝配輔材,Toppan Photomask,公克,247.07,Lithography,避光保存,電子級,中,法國,2025-07-23
MAT375,Sulfuric Acid (H₂SO₄),化學溶液,JSR Corporation,片,125.39,Etching,密封容器，避光保存,高純度,低,日本,2025-09-04
MAT376,Photoresist PR-950,光阻材料,Toppan Photomask,公升,90.63,Packaging,常溫乾燥,99.999%,中,德國,2025-07-16
MAT377,Dicing Tape UV Type,裝配輔材,長春化工,公克,470.15,Cleaning,避光保存,N/A,中,台灣,2025-07-08
MAT378,Dicing Tape UV Type,裝配輔材,Heraeus,公斤,107.66,CMP,乾燥室，低於25°C,高純度,低,台灣,2025-08-15
MAT379,Copper Target,薄膜材料,Senju Metal,片,158.92,Etching,高壓鋼瓶,N/A,高,日本,2025-08-25
MAT380,Photoresist PR-950,光阻材料,GlobalWafers,片,203.76,CMP,常溫乾燥,N/A,低,德國,2025-08-12
MAT381,Mold Compound,封裝材料,JSR Corporation,卷,421.97,CMP,高壓鋼瓶,N/A,中,日本,2025-08-25
MAT382,BT Substrate 6L,封裝基板,Nan Ya PCB,公斤,452.72,Lithography,乾燥室，低於25°C,高純度,高,法國,2025-08-13
MAT383,Ultra Pure Water,清洗用水,欣興電子 Unimicron,公升,44.93,Oxidation,避光保存,N/A,低,法國,2025-08-21
MAT384,Ultra Pure Water,清洗用水,Toppan Photomask,公克,369.93,Packaging,常溫乾燥,99.999%,高,日本,2025-08-20
MAT385,Dicing Tape UV Type,裝配輔材,Senju Metal,公斤,122.62,Packaging,密封容器，避光保存,N/A,高,日本,2025-07-20
MAT386,BGA Solder Ball Sn96.5Ag3Cu0.5,封裝材料,TOK,公斤,475.85,Etching,常溫乾燥,99.999%,低,日本,2025-08-21
MAT387,Ag Wire 18μm,封裝導線,Air Liquide,片,260.64,Cleaning,避光保存,高純度,低,台灣,2025-07-11
MAT388,Ultra Pure Water,清洗用水,Dow Chemical,公克,83.65,Lithography,高壓鋼瓶,99.999%,低,台灣,2025-07-06
MAT389,Sulfuric Acid (H₂SO₄),化學溶液,Tanaka Precious Metals,卷,491.64,CMP,常溫乾燥,電子級,低,德國,2025-07-15
MAT390,Photoresist PR-950,光阻材料,Heraeus,卷,385.56,Cleaning,常溫乾燥,99.999%,低,台灣,2025-09-24
MAT391,Die Attach Adhesive,封裝材料,Senju Metal,公克,440.22,Oxidation,乾燥室，低於25°C,99.9999%,低,法國,2025-09-04
MAT392,ABF Substrate 4L,封裝基板,Nan Ya PCB,公斤,335.66,CVD,常溫乾燥,99.9999%,中,台灣,2025-08-21
MAT393,Hydrofluoric Acid (HF),化學溶液,Tanaka Precious Metals,卷,193.46,Oxidation,常溫乾燥,99.999%,中,韓國,2025-07-09
MAT394,Nitrogen Gas (N₂),化學氣體,TOK,公斤,273.28,Etching,密封容器，避光保存,電子級,低,德國,2025-08-03
MAT395,Sulfuric Acid (H₂SO₄),化學溶液,Shin-Etsu,片,335.68,Lithography,高壓鋼瓶,電子級,中,法國,2025-07-07
MAT396,Gold Wire 25μm,封裝導線,JSR Corporation,卷,266.83,CMP,常溫乾燥,高純度,高,法國,2025-09-03
MAT397,CF₄ Gas,化學氣體,長春化工,片,98.48,CMP,密封容器，避光保存,99.999%,中,日本,2025-09-26
MAT398,Photoresist PR-950,光阻材料,Tanaka Precious Metals,公克,412.66,Oxidation,避光保存,99.9999%,高,韓國,2025-09-17
MAT399,Mold Compound,封裝材料,欣興電子 Unimicron,公升,251.56,Packaging,常溫乾燥,99.999%,高,日本,2025-08-27
MAT400,Dicing Tape UV Type,裝配輔材,TOK,公斤,2.66,CMP,常溫乾燥,99.999%,低,韓國,2025-08-06
